CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE)
355.2554,79.98398,78.70557,81.16261,81.67906,82.45218,82.69058
355.8484,80.29734,78.97255,81.51021,82.10329,82.91532,83.22553
356.4415,80.58243,79.22971,81.82357,82.48813,83.33955,83.7249
357.0346,80.84941,79.50068,82.10866,82.83573,83.72439,84.18804
357.6277,81.10657,79.80306,82.37564,83.14909,84.07199,84.61227
358.2208,81.37754,80.14584,82.6328,83.43418,84.38535,84.99711
358.8138,81.67992,80.54946,82.90377,83.70116,84.67044,85.34471
359.4069,82.0227,81.03321,83.20615,83.95832,84.93742,85.65807
360,82.42632,81.61005,83.54893,84.22929,85.19458,85.94316
360.5931,82.91007,82.27034,83.95255,84.53167,85.46555,86.21014
361.1862,83.48691,83.02073,84.4363,84.87445,85.76793,86.4673
361.7792,84.1472,83.83995,85.01314,85.27807,86.11071,86.73827
362.3723,84.89759,84.73147,85.67343,85.76182,86.51433,87.04065
362.9654,85.71681,85.68683,86.42382,86.33866,86.99808,87.38343
363.5585,86.60833,86.69605,87.24304,86.99895,87.57492,87.78705
364.1516,87.56369,87.76362,88.13456,87.74934,88.23521,88.2708
364.7446,88.57291,88.87325,89.08992,88.56856,88.9856,88.84764
365.3377,89.64048,89.90416,90.09914,89.46008,89.80482,89.50793
365.9308,90.75011,91.11528,91.16671,90.41544,90.69634,90.25832
366.5239,91.78102,92.18219,92.27634,91.42466,91.6517,91.07754
367.117,92.99214,93.154,93.30725,92.49223,92.66092,91.96906
367.71,94.05905,94.02558,94.51837,93.60186,93.72849,92.92442
368.3031,95.03086,94.76217,95.58528,94.63277,94.83812,93.93364
368.8962,95.90244,95.34417,96.55709,95.84389,95.86903,95.00121
369.4893,96.63903,95.99838,97.42867,96.9108,97.08015,96.11084
370.0824,97.22103,96.246393,98.16526,97.88261,98.14706,97.14175
370.6755,97.87524,96.3589,98.74726,98.75419,99.11887,98.35287
371.2685,98.123253,96.04216,99.40147,99.49078,99.99045,99.41978
371.8616,98.23576,95.58186,99.649483,100.07278,100.72704,100.39159
372.4547,97.91902,95.08417,99.76199,100.72699,101.30904,101.26317
373.0478,97.45872,94.53127,99.44525,100.975003,101.96325,101.99976
373.6409,96.96103,93.90157,98.98495,101.08751,102.211263,102.58176
374.2339,96.40813,93.22,98.48726,100.77077,102.32377,103.23597
374.827,95.77843,92.49155,97.93436,100.31047,102.00703,103.483983
375.4201,95.09686,91.72703,97.30466,99.81278,101.54673,103.59649
376.0132,94.36841,90.93059,96.62309,99.25988,101.04904,103.27975
376.6063,93.60389,90.10456,95.89464,98.63018,100.49614,102.81945
377.1993,92.80745,89.25443,95.13012,97.94861,99.86644,102.32176
377.7924,91.98142,88.38103,94.33368,97.22016,99.18487,101.76886
378.3855,91.13129,87.48684,93.50765,96.45564,98.45642,101.13916
378.9786,90.25789,86.57503,92.65752,95.6592,97.6919,100.45759
379.5717,89.3637,85.65142,91.78412,94.83317,96.89546,99.72914
380.1647,88.45189,84.7092,90.88993,93.98304,96.06943,98.96462
380.7578,87.52828,83.75949,89.97812,93.10964,95.2193,98.16818
381.3509,86.58606,82.80114,89.05451,92.21545,94.3459,97.34215
381.944,85.63635,81.84046,88.11229,91.30364,93.45171,96.49202
382.5371,84.678,80.87861,87.16258,90.38003,92.5399,95.61862
383.1301,83.71732,79.91893,86.20423,89.43781,91.61629,94.72443
383.7232,82.75547,78.95891,85.24355,88.4881,90.67407,93.81262
384.3163,81.79579,78.00522,84.2817,87.52975,89.72436,92.88901
384.9094,80.83577,77.05767,83.32202,86.56907,88.76601,91.94679
385.5025,79.88208,76.11777,82.362,85.60722,87.80533,90.99708
386.0956,78.93453,75.26003,81.40831,84.64754,86.84348,90.03873
386.6886,77.99463,74.49576,80.46076,83.68752,85.8838,89.07805
387.2817,77.13689,73.57836,79.52086,82.73383,84.92378,88.1162
387.8748,76.37262,72.29696,78.66312,81.78628,83.97009,87.15652
388.4679,75.45522,71.59448,77.89885,80.84638,83.02254,86.1965
389.061,74.17382,70.72805,76.98145,79.98864,82.08264,85.24281
389.654,73.47134,69.87842,75.70005,79.22437,81.2249,84.29526
390.2471,72.60491,69.04508,74.99757,78.30697,80.46063,83.35536
390.5439,71.75528,67.99765,74.13114,77.45632,79.54323,82.49762
391.066,70.92194,67.11069,73.28151,76.65743,78.69258,81.73335
391.5881,69.87451,66.37988,72.44817,75.45666,77.89369,80.81595
392.1102,68.98755,65.83039,71.40074,74.60703,76.69292,79.9653
392.6323,68.25674,64.99834,70.51378,73.77369,75.84329,79.16641
393.1545,67.70725,64.36994,69.78297,72.72626,75.00995,77.96564
393.6766,66.8752,63.670974,69.23348,71.8393,73.96252,77.11601
394.1987,66.2468,62.97792,68.40143,71.10849,73.07556,76.28267
394.7208,65.547834,61.99624,67.77303,70.559,72.34475,75.23524
395.2429,64.85478,61.45059,67.074064,69.72695,71.79526,74.34828
395.765,63.8731,60.48794,66.38101,69.09855,70.96321,73.61747
396.2872,63.32745,59.99659,65.39933,68.399584,70.33481,73.06798
396.8093,62.3648,59.28103,64.85368,67.70653,69.635844,72.23593
397.3314,61.87345,58.54682,63.89103,66.897842,68.94279,71.60753
397.8535,61.15789,57.93639,63.39968,66.1792,68.134102,70.908564
398.3756,60.42368,57.10434,62.68412,65.21655,67.41546,70.21551
398.8978,59.81325,56.47594,61.94991,64.7252,66.45281,69.406822
399.4199,58.9812,55.776974,61.33948,64.00964,65.96146,68.68818
399.942,58.3528,55.08392,60.50743,63.27543,65.2459,67.72553
400.4641,57.653834,54.999,59.87903,62.665,64.51169,67.23418
400.9862,56.96078,54.6856,59.180064,61.83295,63.90126,66.51862
