CA,Diesel,WCOB20,TB (CE),TBA1 (CE),TBA2 (CE),TBA3 (CE)
330.346,53.7237,52.98681,54.86367,55.15508,56.03647,55.69469
330.939,54.32455,53.27822,55.24993,55.69469,56.39134,56.03647
331.5321,54.86367,53.81783,55.85078,56.03647,56.93095,56.81745
332.1252,55.15508,54.15961,56.3899,56.57545,57.27273,57.66406
332.7183,55.69469,54.94059,56.68131,57.1763,57.81171,58.20367
333.3114,56.03647,55.52291,57.22092,57.71542,58.41256,58.54545
333.9044,56.81745,56.12103,57.5627,58.00683,58.95168,59.08443
334.4975,57.39977,56.73145,58.34368,58.54644,59.24309,59.68528
335.0906,57.99789,57.3565,58.926,58.88822,59.7827,60.2244
335.6837,58.60831,57.99551,59.52412,59.6692,60.12448,60.51581
336.2768,59.23336,58.64633,60.13454,60.25152,60.90546,61.05542
336.8699,59.87237,59.31194,60.75959,60.84964,61.48778,61.3972
337.4629,60.52319,59.98985,61.3986,61.46006,62.0859,62.17818
338.056,61.1888,60.67956,62.04942,62.08511,62.69632,62.7605
338.6491,61.86671,61.38208,62.71503,62.72412,63.32137,63.35862
339.2422,62.55642,62.09407,63.39294,63.37494,63.96038,63.96904
339.8353,63.25894,62.8147,64.08265,64.04055,64.6112,64.59409
340.4283,63.97093,63.54332,64.78517,64.71846,65.27681,65.2331
341.0214,64.69156,64.27792,65.49716,65.40817,65.95472,65.88392
341.6145,65.42018,65.01883,66.21779,66.11069,66.64443,66.54953
342.2076,66.15478,65.7649,66.94641,66.82268,67.34695,67.22744
342.8007,66.89569,66.52227,67.68101,67.54331,68.05894,67.91715
343.3937,67.64176,67.26917,68.42192,68.27193,68.77957,68.61967
343.9868,68.39913,68.01774,69.16799,69.00653,69.50819,69.33166
344.5799,69.14603,68.76214,69.92536,69.74744,70.24279,70.05229
345.173,69.8946,69.5004,70.67226,70.49351,70.9837,70.78091
345.7661,70.639,70.22885,71.42083,71.25088,71.72977,71.51551
346.3591,71.37726,70.94749,72.16523,71.99778,72.48714,72.25642
346.9522,72.10571,71.65499,72.90349,72.74635,73.23404,73.00249
347.5453,72.82435,72.34553,73.63194,73.49075,73.98261,73.75986
348.1384,73.53185,73.01779,74.35058,74.22901,74.72701,74.50676
348.7315,74.22239,73.6603,75.05808,74.95746,75.46527,75.25533
349.3245,74.89465,74.28867,75.74862,75.6761,76.19372,75.99973
349.9176,75.53716,74.88479,76.42088,76.3836,76.91236,76.73799
350.5107,76.16553,75.45299,77.06339,77.07414,77.61986,77.46644
351.1038,76.76165,75.98794,77.69176,77.7464,78.3104,78.18508
351.6969,77.32985,76.48731,78.28788,78.38891,78.98266,78.89258
352.29,77.8648,76.95045,78.85608,79.01728,79.62517,79.58312
352.883,78.36417,77.37468,79.39103,79.6134,80.25354,80.25538
353.4761,78.82731,77.75952,79.8904,80.1816,80.84966,80.89789
354.0692,79.25154,78.10712,80.35354,80.71655,81.41786,81.52626
354.6623,79.63638,78.42048,80.77777,81.21592,81.95281,82.12238
